"full_address","neighborhoods_analysis_boundaries","permit_type_definition","description","existing_use","proposed_use","permit_creation_date","location.latitude","location.longitude"
"508 Oak St 94102","Hayes Valley","otc alterations permit","at 2nd floor unit #508 legalize extg level wood deck with one hour rated wall at property line and sliding door.","apartments","apartments",2014-09-02,"37.77457902710605","-122.42812862994928"
"1451 18th Av 94122","Inner Sunset","additions alterations or repairs","legalize existing residential unit installed behind garage without permit per ordinance 43-14. 146-15","2 family dwelling","apartments",2015-10-16,"37.76076710623477","-122.47618795555842"
"1453 18th Av 94122","Inner Sunset","additions alterations or repairs","legalize existing residential unit installed behind garage without permit per ordinance 43-14. 146-15","2 family dwelling","apartments",2015-10-16,"37.76076710623477","-122.47618795555842"
"2680 Lombard St 94123","Marina","additions alterations or repairs","fire separation, new gypboard finish, hvac, new water heater, new exhaust fans, sprinkler system. to comply with nov 20164835 to legalize third dwelling unit","2 family dwelling","apartments",2017-04-17,"37.79883277627231","-122.44564180299103"
"55 John St 94133","Chinatown","additions alterations or repairs","unit legalization per ord #43-14. legalize unit at basement.","apartments","apartments",2015-11-09,"37.7958181648454","-122.41090186272291"
"2341 Chestnut St 94123","Marina","additions alterations or repairs","pursuant to sf planning code section 207, the project proposes to upgrade 2 of 3 (e) ground floor units to legalized accessory dwelling units. the work includes new fire rated walls, doors, windows, along with new interior partitions, kitchens & baths. ** maher: n/a ** sprinkler deferred","apartments","apartments",2015-11-16,"37.79980846254303","-122.44192564806069"
"247 Collins St 94118","Lone Mountain/USF","additions alterations or repairs","legalize in-law unit at first fl per ord #43-14. building is fully sprinklerd.","apartments","apartments",2016-02-19,"37.781397739569464","-122.45026420334135"
"874 Fell St 94117","Hayes Valley","additions alterations or repairs","unit legalizaiton ord 43-14. comply with nov 201722542. legalize an illegal unit.","apartments","apartments",2019-01-22,"37.77497207038391","-122.43229803707592"
"2881 San Bruno Av 94134","Portola","additions alterations or repairs","comply enf#2017008719-00,02,03&04enf,dbi novs,legalize 3 unit,provide 2nd egress for 4th fl units by install permanent hot dipped galvanized steell fire escape stairs,interior adjustment of approved pa#201209270765 to accomondate 5 unit,facade modify to match as built conditions per zoning adminitor","2 family dwelling","apartments",2019-05-29,"37.725542277833426","-122.40244864090322"
"4542 Cabrillo St 94121","Outer Richmond","additions alterations or repairs","proposed to legalized dwelling unit at 1st fl comply with ordinance 43-14","2 family dwelling","apartments",2018-03-08,"37.77356367605139","-122.50760379462808"
"658 Elizabeth St 94114","Noe Valley","additions alterations or repairs","legalize accessory dwelling unit under ordinance 43-14. automatic sprinkler system at ground floor to be provided under separate permit.","2 family dwelling","apartments",2015-12-18,"37.752257569031904","-122.43551958808095"
"712 Delta St 94134","Visitacion Valley","additions alterations or repairs","unit legalization per ordinance 43-14. no exterior work. legalize existing ground fl dwelling unit @ rear for a total of (3) dwelling units. provide bldg, fire, mech, electrical and plumbing. upgrades as required for legalization","2 family dwelling","apartments",2019-04-01,"37.71171802975145","-122.4101482803132"
"355 21st Av 94121","Outer Richmond","otc alterations permit","f/s: installation of new fire sprinkler system in a legalized 1 unit on 1st fl. installation of 2""fire service underground. ref pa #201803052853.","apartments","apartments",2019-07-31,"37.78116480949981","-122.48084370396057"
"1650 11th Av 94122","Inner Sunset","additions alterations or repairs","legalize an (e) unauthorized dwelling unit on ground floor per ordiance 43-14. entire 1st fl to be upgraded to include fire sprinkler system. all three flrs to include manual fire alarm system. verify (e) strl complies w/ lateral force resisting per 2016 sfbc sec 407 change of occupancy r3 to r2.","2 family dwelling","apartments",2019-01-11,"37.75740444097668","-122.46766733598642"
"1871 08th Av 94122","Inner Sunset","additions alterations or repairs","legalize third unit per ordinance no. 43-14. improve unit (2 bedroom & 1 bath) to meet all applicable code requirements. no excavation.","1 family dwelling","apartments",2019-08-08,"37.75343899995842","-122.46482886775539"
"233 Onondaga Av 94112","Outer Mission","additions alterations or repairs","legalize (1) illegal unit @ ground fl per adu ordinance #162-16. legalization of the other unit will be under separate permit","2 family dwelling","apartments",2019-08-08,"37.722715833234766","-122.44206038067657"
"1824 Anza St 94118","Inner Richmond","otc alterations permit","to legalize 20 front windows by changing out current vinyl windows to wood windows, to comply with physical inspection report #cc-7873, item # 1a.  change out with same size and type (hung/fixed)u.32","apartments","apartments",2015-06-04,"37.77917336777023","-122.46782206819148"
"1656 Newcomb Av 94124","Bayview Hunters Point","additions alterations or repairs","legalize ground floor kitch to add (1)(n) residential unit under unit legalization program per plan. comply nov #201569191, nov #201567915, nov #201569711 per ord# 43-14.","apartments","apartments",2015-11-10,"37.736099549434215","-122.39077961221771"
"3214 Balboa St 94121","Outer Richmond","otc alterations permit","revision to pa 2018-1211-7957 including modification of proposed steps serving existing units & unit to be legalized; revision of fire rated assemblies, and revision of utility room access","2 family dwelling","apartments",2019-08-19,"37.776139629849816","-122.49341403872755"
"1304 Page St 94117","Haight Ashbury","additions alterations or repairs","legalize grade level unit per ord 43-14. new landscaping/permeability improvements within required front yard.","2 family dwelling","apartments",2019-08-20,"37.77175486333982","-122.44250326876295"
"200 Lily St 94102","Hayes Valley","additions alterations or repairs","ordinance #43-14. convert single family space to (n) (1) bedroom unit. remodel (e) unit 1 & 2 to change from (2) bed, (2) bath to (3) bed (2) bath. bring current illegal unit to comply w/ code & with permits","2 family dwelling","apartments",2019-08-20,"37.7744494040287","-122.42433968730616"
"1480 Waller St 94117","Haight Ashbury","additions alterations or repairs","legalize (e) dwelling unit @ rear of basement. add 1 hour corridor adjacent (e) unit. add fire sprinkler system per nfpa 13-r on entirely of basement level. (refer to adu pa# 2016/09/16/8044)","apartments","apartments",2016-09-16,"37.76915386934287","-122.44796191868573"
"1438 Page St 94117","Haight Ashbury","additions alterations or repairs","unit legalization per ordinance no. 43-14. legalize (e) unit #9 on 1st flr with one bdrm, living room, kitchen, two closets & two full bath.","apartments","apartments",2016-09-29,"37.77155798089781","-122.44452600408356"
"84 Harriet St 94103","South of Market","additions alterations or repairs","legalize ground floor dwelling unit per ord43-14;relocate entry door,add interior stair &landing,add nfpa-13 sprinkler system &1-hr rated floor/ceiling constr @ground flr,remodel kitchen & bathrm,infill/reconfigure openings along south&north courts,add openings to sw corner;sprinkers per nfpa 13 and","apartments","apartments",2016-01-08,"37.77821725156359","-122.40660876924345"
"88 Harriet St 94103","South of Market","additions alterations or repairs","legalize ground floor dwelling unit per ord43-14;relocate entry door,add interior stair &landing,add nfpa-13 sprinkler system &1-hr rated floor/ceiling constr @ground flr,remodel kitchen & bathrm,infill/reconfigure openings along south&north courts,add openings to sw corner;sprinkers per nfpa 13 and","apartments","apartments",2016-01-08,"37.77821725156359","-122.40660876924345"
"451 24th Av 94121","Outer Richmond","additions alterations or repairs","unit legalization ordinance# 43-14. legalize as-built unit on 1st floor per plan.","apartments","apartments",2016-01-26,"37.78108775906574","-122.48406329430782"
"2360 Folsom St 94110","Mission","otc alterations permit","add bedroom to (e) lower units on ground floor.habitable space behind existing garage. legalize exit path behind habitable space.","apartments","apartments",2019-08-29,"37.75951004110638","-122.41510320321204"
"2362 Folsom St 94110","Mission","otc alterations permit","add bedroom to (e) lower units on ground floor.habitable space behind existing garage. legalize exit path behind habitable space.","apartments","apartments",2019-08-29,"37.75951004110638","-122.41510320321204"
"1742 La Salle Av 94124","Bayview Hunters Point","additions alterations or repairs","per ordinance 43-14, legalize (e) unpermitted dwelling unit @ ground fl, originally constructed per appln #200907213063","2 family dwelling","apartments",2019-08-30,"37.73821264831261","-122.39116903918496"
"1744 La Salle Av 94124","Bayview Hunters Point","additions alterations or repairs","per ordinance 43-14, legalize (e) unpermitted dwelling unit @ ground fl, originally constructed per appln #200907213063","2 family dwelling","apartments",2019-08-30,"37.73821264831261","-122.39116903918496"
"3221 Balboa St 94121","Outer Richmond","additions alterations or repairs","legalizae (e) illegal unit @ ground fl. approx 600 sq ft to comply with nov 201540571.","2 family dwelling","apartments",2016-02-01,"37.77564299398302","-122.49346420358137"
"3223 Balboa St 94121","Outer Richmond","additions alterations or repairs","legalizae (e) illegal unit @ ground fl. approx 600 sq ft to comply with nov 201540571.","2 family dwelling","apartments",2016-02-01,"37.77564299398302","-122.49346420358137"
"14 Dehon St 94114","Castro/Upper Market","otc alterations permit","to comply with physical report # cc-7437, legalize work previously performed without permit-  tile bathroom floor & shower enclosure, replace lav. & toilet, tile porch, replace kitchen cabinets, install vinyl floor in kitchen, add sub-panel.no added windows or doors","apartments","apartments",2014-02-26,"37.764110108225466","-122.43025305799439"
"4542 Cabrillo St 94121","Outer Richmond","additions alterations or repairs","proposed to legalized dwelling unit at 1st fl comply with ordinance 43-14","2 family dwelling","apartments",2018-03-08,"37.773563676014845","-122.50760379481535"
"74 Caselli Av 94114","Castro/Upper Market","additions alterations or repairs","convert illegal dwelling unit to legal unit per ordinance no. 43-14.  comply with n.o.v#200925662.","2 family dwelling","apartments",2014-07-14,"37.75993674482737","-122.44097755171472"
"3330 16th St 94114","Castro/Upper Market","additions alterations or repairs","legalize unpermitted roof deck and rebuild damages stair pent and upper stair run due to fire damage in kind on stairs.","apartments","apartments",2015-11-25,"37.764817036478405","-122.42714185569051"
"3334 16th St 94114","Castro/Upper Market","additions alterations or repairs","legalize unpermitted roof deck and rebuild damages stair pent and upper stair run due to fire damage in kind on stairs.","apartments","apartments",2015-11-25,"37.764817036478405","-122.42714185569051"
"345 Frederick St 94117","Haight Ashbury","otc alterations permit","345 unit 2, 2nd fl rear unit: kitchen remodel, new access hallway347 1st fl: open interior wall, basement add new bath. e bath remodel, legalize wet bar, replace rear door and window.  work to all floors of this building. no conversion of unoccupied spaces under this permit.no change on attic.","apartments","apartments",2015-11-25,"37.76659727223612","-122.44897259870459"
"347 Frederick St 94117","Haight Ashbury","otc alterations permit","345 unit 2, 2nd fl rear unit: kitchen remodel, new access hallway347 1st fl: open interior wall, basement add new bath. e bath remodel, legalize wet bar, replace rear door and window.  work to all floors of this building. no conversion of unoccupied spaces under this permit.no change on attic.","apartments","apartments",2015-11-25,"37.76659727223612","-122.44897259870459"
"842 33rd Av 94121","Outer Richmond","otc alterations permit","as-builts for new fire sprinkler system in remodeled/legalized unit (as required by inspector).  bldg pa#201503191386/r3, ref #201610049484, #201612124708.","2 family dwelling","apartments",2017-02-23,"37.773234244176734","-122.49250925338005"
"3352 24th St 94110","Mission","otc alterations permit","comply with nov# 201395151-remove illegal addition in west of lightwell, revert to original envelope. no elevator work.","apartments","apartments",2013-03-29,"37.75235752107773","-122.41972664331053"
"3354 24th St 94110","Mission","otc alterations permit","comply with nov# 201395151-remove illegal addition in west of lightwell, revert to original envelope. no elevator work.","apartments","apartments",2013-03-29,"37.75235752107773","-122.41972664331053"
"1235 Oak St 94117","Haight Ashbury","otc alterations permit","replace 12 windows at front with wood or aluminum-clad double hung sash within existing openings.  legalize existing sash at sides and rear.windows visible from street.","apartments","apartments",2014-07-15,"37.772556925536826","-122.43970709352217"
"2639 Mission St 94110","Mission","additions alterations or repairs","per zoning district to legalize two existing units at 2nd flr. long term residentials used briefly as residential/bussiness use but used as residential units for at least 30 years.","apartments","apartments",2015-12-18,"37.75480128220394","-122.4183302894667"
"1460 Page St 94117","Haight Ashbury","additions alterations or repairs","renovation of top 3 floors. including installation of 3rd dwelling unit at top flr. egress improvements. new dormers at attic level. no expansion of building envelope proposed (no additions). comply with complaint#199921637. legalize ground floor unit (1462a) under separate permit.","2 family dwelling","apartments",2015-12-21,"37.771509914113736","-122.44490359697951"
"1462 Page St 94117","Haight Ashbury","additions alterations or repairs","renovation of top 3 floors. including installation of 3rd dwelling unit at top flr. egress improvements. new dormers at attic level. no expansion of building envelope proposed (no additions). comply with complaint#199921637. legalize ground floor unit (1462a) under separate permit.","2 family dwelling","apartments",2015-12-21,"37.771509914113736","-122.44490359697951"
"1625 Vallejo St 94123","Pacific Heights","additions alterations or repairs","legalize a conversion of 4 units to 3 units. the prior work was completed pursuant to bldg permit#200105028274 issued may 2,2001. the permit was cancelled 08/11/03","apartments","apartments",2013-03-14,"37.79625964833952","-122.42472039124685"
"114 Lyon St 94117","Haight Ashbury","additions alterations or repairs","no work. we are applying for a merger to legalize the use that has been in place for approx 20 years.","apartments","2 family dwelling",2016-03-14,"37.772137704198755","-122.44202276427548"
"181 Corbett Av 94114","Castro/Upper Market","additions alterations or repairs","comply with nov 201498751. legalize 3rd du by adding kitchen per section 207.3 (ord. 43.14) & change occupancy. previous permitted work under pa# 8011064 & #8305024. add fire sprinklers & 1-hr separation between units & garage. ordinance 43-16 (see back for detail).","2 family dwelling","apartments",2016-06-09,"37.761528184983284","-122.44237578182899"
"875 Waller St 94117","Haight Ashbury","additions alterations or repairs","legalize uit on ground floor per ord. 43-14 add unit #5","apartments","apartments",2016-02-08,"37.76991939787556","-122.43829544874471"
"829 York St 94110","Mission","additions alterations or repairs","to comply with nov 201322371. legalize (e) ground floor unit into a 3rd dwelling unit.","2 family dwelling","apartments",2016-02-08,"37.758180622849714","-122.40842400084043"
"521 Central Av 94117","Lone Mountain/USF","otc alterations permit","divide open family room into 2 bedrooms. legalize (e) habitable space","apartments","apartments",2013-04-11,"37.77448262442717","-122.44476059646101"
"1651 Larkin St 94109","Russian Hill","additions alterations or repairs","legalize unit per ordinance no# 43-14. 1 bedroom, 1 office, 1 bathroom, 1 living room & 1 kitchen.","apartments","apartments",2015-05-08,"37.79321176926832","-122.41982269732033"
"51 Douglass St 94114","Castro/Upper Market","additions alterations or repairs","comply w/nov#201495141. legalize (e) dwelling unit by installing kitchen & remove (e) stair to upper flat. legalize (e) unpermitted construction in 53a douglass st.","2 family dwelling","apartments",2014-12-23,"37.76287484043756","-122.43919143669507"
"53 Douglass St 94114","Castro/Upper Market","additions alterations or repairs","comply w/nov#201495141. legalize (e) dwelling unit by installing kitchen & remove (e) stair to upper flat. legalize (e) unpermitted construction in 53a douglass st.","2 family dwelling","apartments",2014-12-23,"37.76287484043756","-122.43919143669507"
"10 Nobles Al 94133","North Beach","additions alterations or repairs","legalize dwelling unit @ ground floor. fire sprinklers under separate permit w/ deferred submittal. unit legalization ordinance #43-14","apartments","apartments",2018-02-15,"37.80108655540347","-122.40727392855207"
"1405 15th St 94103","Mission","additions alterations or repairs","per unit legalization ordinance# 43-14. legalize (e) dwelling unit on the 1st floor to become 4 to 5 units building. legalize unit will be a (1) bedroom unit w/ kitchen & bath. soft story per 201701187351. maher n/a.","apartments","apartments",2017-02-03,"37.766677772708455","-122.41600629109223"
"1520 Dolores St 94131","Noe Valley","otc alterations permit","to comply with item # 2 for window replacement of the building and housing inspection report. to legalize window replacement work at the front of unit 1516 & 1520. all street windows to be double hung alum wood clad. n/a for maher.","apartments","apartments",2015-05-12,"37.745079675120316","-122.42488507290535"
"244 30th St 94131","Noe Valley","additions alterations or repairs","legalize existing unauthorized accessory dwelling unit per ordinance 43-14","2 family dwelling","apartments",2016-03-04,"37.74241331729211","-122.42535519973046"
"4400 19th St 94114","Castro/Upper Market","additions alterations or repairs","to comply with nov bid# 201579764. eid# 201579765, pid# 201679661. legalize (e) non-conforming additional top-floor occupancy: living room, bathroom, spiral stair.","apartments","apartments",2016-03-04,"37.759199177829224","-122.43836856731053"
"4400 19th St 94114","Castro/Upper Market","additions alterations or repairs","to comply with nov bid# 201579764. eid# 201579765, pid# 201679661. legalize (e) non-conforming additional top-floor occupancy: living room, bathroom, spiral stair.","apartments","apartments",2016-03-04,"37.759199177829224","-122.43836856731053"
"4400 19th St 94114","Castro/Upper Market","additions alterations or repairs","to comply with nov bid# 201579764. eid# 201579765, pid# 201679661. legalize (e) non-conforming additional top-floor occupancy: living room, bathroom, spiral stair.","apartments","apartments",2016-03-04,"37.759199177829224","-122.43836856731053"
"503 Laguna St 94102","Hayes Valley","otc alterations permit","install (n) battries;rr (9)(e) rrus w/(9) (n) rrus; install other small equipement; remove all unused equipment; paint frp to match building. n/a maher. legalize 3 (e) antennas for planning conditional use purposes, total 6 antennas (e)","apartments","apartments",2018-03-30,"37.7756976470281","-122.42628027117757"
"1181 Valencia St 94110","Mission","additions alterations or repairs","remodel & legalize residential 3rd unit at the ground floor. compliance with ordinance no. 155-13 not required. sprinklers (nfpa-13r for unit, nfpa-13 for garage) on deferred submittal.","2 family dwelling","apartments",2014-03-10,"37.754065543693706","-122.42048735417215"
"610 Shotwell St 94110","Mission","additions alterations or repairs","legalize top floor illegal unit. ord #43-14. nov 200905682. no change in building envlope.","apartments","apartments",2016-03-09,"37.75850321388341","-122.41606564650112"
"3354 24th St 94110","Mission","otc alterations permit","remove illegally built support encroaching on neighbors parapet wall. work at roof only.","apartments","apartments",2013-04-02,"37.75235752107773","-122.41972664331053"
"2940 Anza St 94121","Outer Richmond","additions alterations or repairs","legalize unit (unit c) on 1st floor w/ (1) bedroom, (1) media room, (1) storage, kitchen, living room & (1) full bath per plan per ord #43-14. building to be sprinklered on separate permit.","2 family dwelling","apartments",2017-10-04,"37.77861914725836","-122.48006937655768"
"3810 Divisadero St 94123","Marina","additions alterations or repairs","legalized as built unit @ ground level. the building had combined 2 units to 1 unit at 4th fl under permit appl #8810605, from 6 units become 5 units building. legalized as built unit is just restore the bldg back to 6 unit bldg. add unit per ordinance no 43-14.","apartments","apartments",2015-05-14,"37.80490540089172","-122.44351387951858"
"1903 23rd St 94107","Potrero Hill","otc alterations permit","to comply with nov # 201525511 remove illegal unit & revert back to last legal  use","apartments","apartments",2016-03-18,"37.754501439071596","-122.39894640477291"
"1139 Pacific Av 94133","Nob Hill","additions alterations or repairs","to legalize 1st fl of 1139 pacific per ordinance 43-14. to add living room, kitchen, 2 bedroom & a bathroom","apartments","apartments",2016-05-06,"37.79575105376879","-122.41394051877984"
"1333 42nd Av 94122","Sunset/Parkside","additions alterations or repairs","(n) kitchen on 1st fl & convert (e) playroom to bedroom to legalize in-law dwelling unit under ord #43-14. sprinklers to nfpa 13 under separate permit.","2 family dwelling","apartments",2015-05-08,"37.76177165451542","-122.50205153227456"
"172 Lily St 94102","Hayes Valley","otc alterations permit","to legalize the work done for kitchen & bathroom for unit #172 & #174, 2 ktichens & 2 bathroom","apartments","apartments",2014-08-01,"37.77452561011521","-122.42363101176602"
"174 Lily St 94102","Hayes Valley","otc alterations permit","to legalize the work done for kitchen & bathroom for unit #172 & #174, 2 ktichens & 2 bathroom","apartments","apartments",2014-08-01,"37.77452561011521","-122.42363101176602"
"3474 17th St 94110","Mission","additions alterations or repairs","unit legalization per ordinance 43-14. legalize unit# 7 (studio apt), remove / add interior non bearing walls. remodel bath. electrical upgrade where needed in unit.** maher: compliance with ordinance no# 155-13 not required **","apartments","apartments",2014-08-01,"37.763441367323175","-122.42339645112999"
"1555 Treat Av 94110","Bernal Heights","additions alterations or repairs","legalize window replacement completed in 2004 without permit. (9) of (12) windows on front facade. none of the replacement windows are bedroom windows. u-factor=0.4 max - no additional work being done.","apartments","apartments",2014-03-21,"37.74591487288107","-122.41217882081096"
"1221 14th Av 94122","Inner Sunset","otc alterations permit","installation of new fire sprinkler nfpa-13 system 1st fl to legalized unit on this floor. new 2"" fire service underground. 10 heads.","2 family dwelling","apartments",2016-03-28,"37.76523580333239","-122.4721097201808"
"1531 Francisco St 94123","Marina","additions alterations or repairs","legalize (e) dwelling unit on ground floor installed without a permit under ord no. 43-14. new sprinkler prmit shall be submitting separately. new unit & egress path to street will need to be sprinklered.","apartments","apartments",2015-05-20,"37.802237184195675","-122.43033726903552"
"2095 Fulton St 94117","Lone Mountain/USF","additions alterations or repairs","legalize unit @ basement level, work to include remodel (e) guestrooms & create (n) kitchen @ basement, refer to meeting minutes on sheet a0.2. revert exist. guest rm back to original building unit use.  original bldg 8 dwelling units per 3r report.","apartments","apartments",2016-04-01,"37.775086120288215","-122.45107147268136"
"1850 Sacramento St 94109","Pacific Heights","additions alterations or repairs","legalize (e) ground floor unit previously installed prior to 1960. (n) studio apartment per ord no. 43-14. studio with 1 bathroom.","apartments","apartments",2015-05-22,"37.79143145530101","-122.42355177073176"
"2332 Jones St 94133","Russian Hill","otc alterations permit","comply with nov# 201271465 & 201272981-remodel (e) bathroom-shower toilet & vanity. new tile flooring & lighting. remove (e) flooring, replace with new carpet & paint through out. replace forced air unit. legalize (e) bathroom in basement","apartments","apartments",2013-04-25,"37.80292669686101","-122.41606379143525"
"3283 25th St 94110","Mission","additions alterations or repairs","legalize an additional unit per ordinance 43-14","apartments","apartments",2019-04-10,"37.7506559695565","-122.41581043613523"
"951 Jones St 94109","Nob Hill","otc alterations permit","legalize existing main bathroom which is remodeled from previous owner.","apartments","apartments",2013-04-26,"37.790123293006275","-122.41410099193246"
"1903 23rd St 94107","Potrero Hill","additions alterations or repairs","add unit 4, legalization of dwelling unit per ordinance #43-14. legalize existing kitchen and construct new hallway, all work at ground floor. comply w/ nov #201525511","apartments","apartments",2016-04-12,"37.754501439071596","-122.39894640477291"
"500 19th Av 94121","Outer Richmond","additions alterations or repairs","legalization of dwelling unit installed without permit. legalize existing kitchen, bath room & 2 bedroom. all work at ground floor. building to be sprinklered protected, sprinkler under separate permit.","2 family dwelling","apartments",2014-09-05,"37.778260218323105","-122.47797299462778"
"895 34th Av 94121","Outer Richmond","additions alterations or repairs","legalize unit# 6 per ordinance# 43-14 on 1st floor include 1 kitchen, living room, 1 bedroom, closet & 3 fixture bathroom per plan.","apartments","apartments",2019-04-17,"37.77226637288917","-122.49412662365039"
"2277 Washington St 94115","Pacific Heights","otc alterations permit","addressing complaint #201398383 & 201398381 existing structure/kitchen existing legalize exisitng kitchen, replace cabinets ,countertops, flooring, no electrical or plumbing in unit #5 , addressin complaint # 201398384, need to repair existing stairway in rearyard less than 50% repair","apartments","apartments",2013-04-23,"37.79183250746903","-122.4306292460948"
"515 Octavia St 94102","Hayes Valley","additions alterations or repairs","legalize and remodel studio apartment at 1st fl. install new entry steps at sidewalk. increase size of 1 window and add 2 new windows at studio. relocate trash room in storage area. n/a for maher ordinance no. 155-13.","apartments","apartments",2016-04-20,"37.77693110659566","-122.424935034158"
"2335 Balboa St 94121","Outer Richmond","additions alterations or repairs","add units per ord #162-16. legalize shower & stove only. comply w/ nov #201918631. add 3rd unit (studio) in addition to current 2 existing units.","2 family dwelling","apartments",2019-04-29,"37.77612480537598","-122.48395535047617"
"2341 Chestnut St 94123","Marina","additions alterations or repairs","unit legalization ord 43-14. upgrade(e)g/f dwg unit #17a into legalized dwg unit.new fire rated walls, new interior partitions, new doors, new window, new kitchen, new bath, new cabinets, fixtures, appliances, new electrical, plumbing under separate permit.(maher ord-extended n/a)","apartments","apartments",2016-04-21,"37.79980846254303","-122.44192564806069"
"647 35th Av 94121","Outer Richmond","additions alterations or repairs","legalize 1st flr area as additional unit #3 per ord# 43-14, including kitchen, living, bathroom & 2 bedrooms. add water heater, furnace & washer/dryer.","2 family dwelling","apartments",2019-05-24,"37.776761308439205","-122.49557308204774"
"406 29th St 94131","Noe Valley","additions alterations or repairs","legalize existing in-law unit at ground floor; one bedroom and one bathroom at unit. fire sprinkler under separate permit.","2 family dwelling","apartments",2016-05-25,"37.743694472525625","-122.4293330472625"
"370 07th St 94103","South of Market","otc alterations permit","unit #11:  comply with nov 201151987; remove illegal full height partition wall, restore guard rail at mezzanine,remove walls and add nib wall on lower level, remove unpermitted construction on main floor","apartments","apartments",2013-10-29,"37.77571295397707","-122.40695049490483"
"4971 17th St 94117","Inner Sunset","additions alterations or repairs","legalization of 2nd floor unit per ordinance# 43-14. legalize kitchen, upgrade lighting & switches, provide hydronic heating. provide separate meters for gas, electrical and water.","2 family dwelling","apartments",2016-05-27,"37.7612883453115","-122.45155523220946"
"1264 17th Av 94122","Inner Sunset","additions alterations or repairs","legalize dwelling unit at first floor per ordinance no 43-14.","2 family dwelling","apartments",2016-09-21,"37.76429819917771","-122.47470099027775"
"2897 San Bruno Av 94134","Portola","additions alterations or repairs","comply enf#2017008719-00,02,03&04enf,dbi novs,legalize 3 unit,provide 2nd egress for 4th fl units by install permanent hot dipped galvanized steell fire escape stairs,interior adjustment of approved pa#201209270763 to accomondate 5 unit,facade modify to match as built conditions per zoning adminitor","2 family dwelling","apartments",2019-05-29,"37.725542277833426","-122.40244864090322"
"167 Fair Oaks St 94110","Mission","otc alterations permit","unit #11: kitchen and bathroom remodel. . to comply with complaint #201577411. legalize replacement of 6 windows at the rear of building. same size, same location. max u factor 0.32","apartments","apartments",2019-05-30,"37.75405952446849","-122.42388129771399"
"3527 18th St 94110","Mission","additions alterations or repairs","compliance with nov# 201070246. remove 2 parking garages to accomodate 2 residential units @ ground leve. to legalize units.** maher: compliance with ordinance no# 155-13 not required **","apartments","apartments",2014-03-27,"37.76147673539087","-122.42223868373576"
"2238 Vicente St 94116","Sunset/Parkside","additions alterations or repairs","unit legalization ordinance 43-14. legalize in law uit on ground floor of building and to build new kitchen with stove, cabinets, fan & refrigerator & sink, contruct (relocate) bathroom to new location with showver stall, vanity and toilet & all associated elctrical & plumbing work.","apartments","apartments",2016-06-20,"37.73887919293447","-122.49115735061655"
"1301 Palou Av 94124","Bayview Hunters Point","otc alterations permit","remove 3 cabinets and sink to comply with  notice of violations of 200917641; removal of illegal unit, restore area back to storage use.","apartments","apartments",2014-05-22,"37.73066540468775","-122.38560130642958"
