"full_address","neighborhoods_analysis_boundaries","permit_type_definition","description","existing_use","proposed_use","permit_creation_date","location.latitude","location.longitude"
"2328 29th Av 94116","Sunset/Parkside","otc alterations permit","legalize 2 (e) bedrooms, (e) family room and remodel (e) bath on 1/f","1 family dwelling","1 family dwelling",2015-12-21,"37.743906784196156","-122.48616998594264"
"629 Alvarado St 94114","Noe Valley","otc alterations permit","1st floor: add bedroom, bathroom and legalize playroom, alter 2 windows rear; expand rear deck. 2nd floor - remodel kitchen, add 1/2 bath, remove sliding door, add french doors, open floor to area below; 3rd floor - add closet to master bedroom, remodel child's bedroom closet. new fau & hwh","1 family dwelling","1 family dwelling",2016-01-05,"37.75340455241446","-122.43501198191348"
"508 Garfield St 94132","Oceanview/Merced/Ingleside","otc alterations permit","to comply with nov 2013429881: to demo ifl illegal bath, kitch & 2 bedrooms.","1 family dwelling","1 family dwelling",2015-10-02,"37.719855405929586","-122.46738876672362"
"2725 Diamond St 94131","Glen Park","otc alterations permit","revision to appl $201406249223 - legalize existing bedroom at garage level.","1 family dwelling","1 family dwelling",2014-08-25,"37.73557698272812","-122.43382070366535"
"1579 La Salle Av 94124","Bayview Hunters Point","otc alterations permit","1st fl remove illegal in law","1 family dwelling","1 family dwelling",2015-10-05,"37.73605165487416","-122.3884296696899"
"148 Felton St 94134","Portola","otc alterations permit","to correct violation #201564911,to legalize portion of (e) deck (24 sq.ft)at rear of bldg, remove (e) stair at rear of (e) deck, remove fiberglass awning on top of (e) deck, removed (e)tool shed to the rear wall of front building.","1 family dwelling","1 family dwelling",2015-10-06,"37.72981543727088","-122.40632756465169"
"615 Prague St 94112","Excelsior","additions alterations or repairs","(post notice epr ordinance no.208-15 is required) comply with nov 201690034 demo non comply work including electrical, plumbing, fixtures, walls, demo exterior deck (remove one illegal unit on ground floor)","1 family dwelling","1 family dwelling",2016-02-04,"37.71238459744843","-122.43188907700714"
"463 Sunrise Wy 94134","Visitacion Valley","additions alterations or repairs","legalize as-built unit (#1) on 1st floor per plan. (2) bedrooms, (1) bathroom, kitchen.","1 family dwelling","2 family dwelling",2015-11-12,"37.7097679703253","-122.41700424851012"
"175 Victoria St 94132","Oceanview/Merced/Ingleside","otc alterations permit","legalize (e) storage shed in rear yard.","1 family dwelling","1 family dwelling",2015-11-05,"37.71385451704139","-122.46557125929264"
"49 Water St 94133","North Beach","otc alterations permit","to comply with nov#201546881. legalize storage sheed & rear yard per verbal directoin of at director's hearing on 2015.10.08 (per ccsf bc). to shorten storage shed.","1 family dwelling","1 family dwelling",2015-10-09,"37.80419631590461","-122.41416540451452"
"630 34th Av 94121","Outer Richmond","otc alterations permit","take out illegal in-law unit at gr fl, remove kitchen. comply with complaint 201567933, 201567931, 201568113. ref. to pa#200806255264","1 family dwelling","1 family dwelling",2015-10-09,"37.777114330169745","-122.4938658215051"
"88 Sylvan Dr 94132","Sunset/Parkside","additions alterations or repairs","install cooking facilities and new full bathroom to the (e) habitable area on ground floor to legalize for a in-law unit under ordinance 43-14","1 family dwelling","2 family dwelling",2016-04-22,"37.73259737588452","-122.48514839383195"
"1015 Capitol Av 94112","Oceanview/Merced/Ingleside","otc alterations permit","legalize (e) family room, construct new bathroom & storage room at ground floor.  construct new deck w/staircase at rear of bldg (size approx 11'x15').","1 family dwelling","1 family dwelling",2014-02-18,"37.720345944087875","-122.45949311409983"
"590 Vienna St 94112","Excelsior","otc alterations permit","to comply with nov 201569362 & remodel:  g/f: remove illegal kitchen, legalize 1 new bath, 2 bedrooms & 1 home theater. remove rooms in (e) rear shed back to storage.  2/f: add 2 full baths, remodel 1 bath, kitchen; add 5 skylights.","1 family dwelling","1 family dwelling",2015-10-14,"37.71919959561177","-122.43171355020823"
"23 Los Palmos Dr 94127","West of Twin Peaks","otc alterations permit","legalize ground floor bedroom & bathroom per plans. renovate kitchen on 2nd floor. remove and replace cabinets & counters. remove and reset appliances, retile floor. update kitchen electrical circuits.","1 family dwelling","1 family dwelling",2015-10-14,"37.734531089674235","-122.44635859850537"
"760 Lakeview Av 94112","Oceanview/Merced/Ingleside","additions alterations or repairs","legalize the west side one-story extension family room.","1 family dwelling","1 family dwelling",2015-10-15,"37.71842791527598","-122.46138946953245"
"1370 Guerrero St 94110","Mission","otc alterations permit","2nd floor: interior localized alteration. 1st flr:  bathroom remodelwindow replacement at rear facade (2nd flr). legalize ground flr bedroom","1 family dwelling","1 family dwelling",2015-10-15,"37.74914593986434","-122.42296501917271"
"64 Whittier St 94112","Excelsior","additions alterations or repairs","remove illegally built kitchen in garage. legalize (e) ground floor storage & bath to comply with complaint 201448141","1 family dwelling","1 family dwelling",2014-02-18,"37.70937350378137","-122.44809679127127"
"1430 19th Av 94122","Inner Sunset","otc alterations permit","to legalize extg rooms and bathroom at ground floor level.","1 family dwelling","1 family dwelling",2013-03-12,"37.761092959135894","-122.47659745099746"
"650 Rockdale Dr 94127","West of Twin Peaks","otc alterations permit","remove illegal kitchen & legalize existing bath, convert to legal use as storage.","1 family dwelling","1 family dwelling",2015-12-03,"37.741056950941235","-122.45028858986151"
"67 Landers St 94114","Castro/Upper Market","otc alterations permit","3 new dormers and renovate extg attic into habitable space, new master bedroom and bath, new stair front ground floor to new 3rd floor. legalize extg ground floor bedroom/bath/laundry into new bath laundry and familyroom. separate habit space from garage. no other roof line expansion other than dorm","1 family dwelling","1 family dwelling",2016-09-28,"37.76677838640401","-122.42744683239077"
"1187 Palou Av 94124","Bayview Hunters Point","additions alterations or repairs","legalize 2/f floor 1 residential unit.  comply with nov #201569102, nov #201569673, nov #201567632.","1 family dwelling","2 family dwelling",2015-11-10,"37.72938577600435","-122.38334664669239"
"160 Boutwell St 94124","Bayview Hunters Point","otc alterations permit","remodel (e) kitchen/bathroom. re-built interior stair from 2nd floor down to ground floor & re-wire electrical lighting & install 3'x3' skylight. legalize 2 bedrooms, 1 bath room & laundry room at ground floor.","1 family dwelling","1 family dwelling",2015-10-16,"37.735075264444305","-122.40584262074343"
"2317 15th St 94114","Castro/Upper Market","otc alterations permit","remove 3ft fence p/t 2317 & 2319 that was added to (e) perimiter fence also 3 ft gurad rail 3 ft extension was illegally place on gurad trail, demo of ""forced construction"" addition to guard rail permitted guard rail to remain","1 family dwelling","1 family dwelling",2016-11-15,"37.7654562731355","-122.43618795958801"
"3327 Irving St 94122","Sunset/Parkside","otc alterations permit","kitchen, bath remodel. remove wall between kitchen, living rm, upgrade e elec panel to 125 amp, change furnace, changte 2 windows facing street, replace with all-wood windows in kind retaining divided light configurations. legalize living room, family rm and full bath on 1/f","1 family dwelling","1 family dwelling",2015-12-11,"37.76259999530802","-122.4937189352752"
"674 Douglass St 94114","Noe Valley","otc alterations permit","remove cabinets and stove. ground floor family room, bedroom, bathroom to be legalized","1 family dwelling","1 family dwelling",2014-09-09,"37.75301037331075","-122.43894199962615"
"227 Randolph St 94132","Oceanview/Merced/Ingleside","otc alterations permit","legalize two bedrooms, construct one full bathroom & laundry. all work at ground floor.","1 family dwelling","1 family dwelling",2017-01-23,"37.714071767388006","-122.46489101981655"
"3136 Anza St 94121","Outer Richmond","additions alterations or repairs","per unit legalization ordinance 43-14, legalization of unit installed without permit, legalize kitchen, one bed rm & one bath rm. all work at ground floor.(no.3136 anza street on ground floor)","1 family dwelling","2 family dwelling",2016-12-02,"37.77852617578955","-122.48212111697089"
"1201 Cayuga Av 94112","Outer Mission","otc alterations permit","legalize laundry room, & restroom, family room, bedroom & study room previously conditioned.  (legalize rooms & bathroom at ground floor). abate n.o.v. #201342563","1 family dwelling","1 family dwelling",2014-03-13,"37.71943024671841","-122.4425585651489"
"1774 38th Av 94122","Sunset/Parkside","otc alterations permit","remodel ground floor. legalize exist. bedroom. add one bedroom and one bath. ref pa #201402138435 for bldg","1 family dwelling","1 family dwelling",2015-10-27,"37.75384731258993","-122.49654104917616"
"1136 Hampshire St 94110","Mission","additions alterations or repairs","comply with nov# 201577881 & 201581851, legalize basement unit. restore fire damaged residence; new baths & toilet, new kitchen, new roof, re-wire portion of electrical, re-plumbing portion of (e) & (n) baths & toilet. legalize basement improvements. expanding over porch; grid. horizontal addition.","1 family dwelling","2 family dwelling",2015-12-24,"37.75386757109278","-122.40766082826684"
"1847 Egbert Av 94124","Bayview Hunters Point","otc alterations permit","comply w/complaint #20139885.  repair (e) deck w/staircase in kind, less than 50%.  legalize bedroom, bath room & laundry room, all work at ground fl.","1 family dwelling","1 family dwelling",2013-04-26,"37.727205020972356","-122.40116688005928"
"501 Rockdale Dr 94127","West of Twin Peaks","otc alterations permit","interior remodel to legalize existing family room; remodel (e) bath and storage area, all woork on 1st fl.; add side property line facing window not visible from street.","1 family dwelling","1 family dwelling",2018-07-23,"37.73943096636759","-122.44982401500087"
"1552 Thomas Av 94124","Bayview Hunters Point","otc alterations permit","non-structural kitchen, bathroom, laundry remodel within the existing building envelope,no additional square footage. replace (2) kitchen windows. legalize 1/2 bath and wet bar in basement.","1 family dwelling","1 family dwelling",2018-07-31,"37.73010263868235","-122.3902092024376"
"355 Tocoloma Av 94134","Bayview Hunters Point","additions alterations or repairs","legalize a 2nd dwelling unit at the 1st flr of an (e) single family dwelling per ordinance 43-14. the bedroom, entertainment, kitchen, dining, living, bathroom and (2) storages to be legalized per plan.","1 family dwelling","2 family dwelling",2017-01-06,"37.71058947757637","-122.39822315478692"
"2039 43rd Av 94116","Sunset/Parkside","additions alterations or repairs","comply with nov# 201626091. legalize (e) kitchen & make it as a secondary unit @ ground fl per legalization ordidance 43-14. change (e) storage room to be home office & remodel (e) bath room at ground floor.","1 family dwelling","2 family dwelling",2016-09-02,"37.74859889746185","-122.50220321578506"
"4341 Ulloa St 94116","Sunset/Parkside","additions alterations or repairs","legalize (e) kitchen in (e) in law unit built with permit #2004-1012-6514 on 1st flr. per ordinance no 43-14 and dbi info sheet no g-17.","1 family dwelling","2 family dwelling",2016-11-21,"37.739761462235464","-122.50304135530101"
"2937 Pierce St 94123","Marina","additions alterations or repairs","to comply with nov#200876836. legalize dwelling unit merger 2 units to 1 unit.remove wll separting units. remove lower floor shower. remove kitchen upstairs.","2 family dwelling","1 family dwelling",2013-05-15,"37.79726671065333","-122.43921652240911"
"339 College Av 94112","Bernal Heights","otc alterations permit","ground fl only legalize bedroom and family roon, replace (e) bathroom fixture with new. remove (e) wood door at rear and replace with new sliding glass door. add plywood shearwall at rear wall only. legalize (e) bedroom & family room.","1 family dwelling","1 family dwelling",2019-04-12,"37.73385950096796","-122.42342537127143"
"649 Francisco St 94133","Russian Hill","additions alterations or repairs","comply w/ bid nov#2018-61363. legalize one dwelling unit on 3rd floor in existing three story building. remove rear stairs and construct railing. **maher n/a**","1 family dwelling","2 family dwelling",2018-07-26,"37.80418168781597","-122.41610943421279"
"168 Lunado Ct 94127","West of Twin Peaks","otc alterations permit","to comply with comp. 201569141 - legalize 2 bedrooms, family room; remodel 1 (e) bedroom & bathroom & construct new bath room at ground floor; relocate (e) kitchen, convert kitchen into bedroom & bathroom. re-wire electrical and lighting at 2/f; remodel (e) bedroom and bath room @ 3rd fl","1 family dwelling","1 family dwelling",2015-09-23,"37.725486801662896","-122.47037216337226"
"771 Corbett Av 94131","Twin Peaks","otc alterations permit","comply  with nov and adding livable space in the basement floor. comply with nov #201552641. legalize 1st floor. excavate basement and 1st floor. new cantilever deck.","1 family dwelling","1 family dwelling",2015-09-23,"37.75440049589922","-122.44226511172351"
"274 Victoria St 94132","Oceanview/Merced/Ingleside","additions alterations or repairs","comply with nov 201625382 permit for furnace/water heater. legalize(e)unit (unit b) on grd floor with 1 bedroom, 1 full bath, kitchen & living room per plan. add deck at rear of building for unit a access to rear yard (open common space) per plan. unit legalization ord 43-14.","1 family dwelling","2 family dwelling",2016-08-29,"37.71566908950004","-122.46503924884911"
"533 Wildwood Wy 94112","West of Twin Peaks","otc alterations permit","legalize a family rm, a bedrm abnd full bath, replace window ro sliding doors on grnd flr.  add fullbath, remodel/relocate bathrm, kitchen, living & dining, add deck at rear. change window ro sliding door on 2nd flr. r&r windows in front in kind. replace garage door, remodel roof, reloate w/h &furn","1 family dwelling","1 family dwelling",2015-10-08,"37.72740654052992","-122.46068958658671"
"257 Parker Av 94118","Lone Mountain/USF","otc alterations permit","remove kitchen to comply with complaint# 201866755legalize pre-existing full bath at 1st floor.","1 family dwelling","1 family dwelling",2019-06-07,"37.78072112622669","-122.45436971606294"
"109 Merced Av 94127","West of Twin Peaks","otc alterations permit","2nd floor-change (e) 1 bathroom into 2 bathrooms. legalize (e) habitable space on ground floor","1 family dwelling","1 family dwelling",2013-05-13,"37.744722441320626","-122.46077665250232"
"1858 Church St 94131","Glen Park","otc alterations permit","comply w/planning enf. case no. 2019-012654enf. revision to structural pa 2016-1222-5700 (s1) in lower level basement layout, to legalize additional removal. revised demo calcs.","1 family dwelling","1 family dwelling",2019-06-24,"37.74070587454772","-122.4270170933602"
"1922 42nd Av 94116","Sunset/Parkside","otc alterations permit","comply with planning complaint, remove illegal kitchen sink,  legalize gr fl family rm, office and full bath","1 family dwelling","1 family dwelling",2019-06-25,"37.75081521336904","-122.50062548312759"
"342 Staples Av 94112","West of Twin Peaks","otc alterations permit","remodel of (e) kitchen and bedrooms. add new bathroom & legalize family room and bedroom at lower floor. upgrade electrical & plumbing. no added horizontal or vertical additions.","1 family dwelling","1 family dwelling",2016-05-26,"37.72932049339551","-122.4498357541419"
"1865 Filbert St 94123","Marina","additions alterations or repairs","per unit legalization ordinance# 43-14. legalize rear building (e)cottage to single house with 2 bedroom & 2 baths.","storage shed","1 family dwelling",2017-10-03,"37.7984488210079","-122.43006062827826"
"2160 22nd Av 94116","Sunset/Parkside","additions alterations or repairs","legalize 2 bedrooms, 1 study room, 1 family room, 1 full & half bathroom, cooking area on the ground floor behind the (e) garage per ordinance no# 43-14.","1 family dwelling","2 family dwelling",2015-04-10,"37.74741677445647","-122.47889123631235"
"274 Silver Av 94112","Outer Mission","additions alterations or repairs","to legalize in-law dwelling unit under ordinance no# 43-14. legalize kitchen with counter, cabinet, wet sink & stove.","1 family dwelling","2 family dwelling",2015-10-27,"37.72890063223016","-122.43203775461205"
"2310 Alemany Bl 94112","Outer Mission","additions alterations or repairs","legalize basement adu. stairs leading to main residence in backyard will be replaced w/ (n) stairs. ordinance #43-14","1 family dwelling","2 family dwelling",2019-07-11,"37.716970410360524","-122.44384050722431"
"737 06th Av NA",NA,"otc alterations permit","legalize new 10' or under fence at rear property line. to comply with nov 201308851","1 family dwelling","1 family dwelling",2013-07-18,NA,NA
"1029 Page St 94117","Haight Ashbury","otc alterations permit","to legalize & improve (e)apartment on ground floor of (e)residence, improved apartment to provide 2 br,2bath,&laundry.modifications incl: fnd replacement & 1' of excavation,elec & plmbg upgrades,hvac,& strctl strengthening.alter include (n)windows & doors in grnd level apt.removal of brick fireplace","1 family dwelling","2 family dwelling",2015-01-27,"37.77192492538364","-122.43776868095732"
"55 Wawona St 94127","West of Twin Peaks","otc alterations permit","to comply with complaint 201959621 and 201960451 - document and legalize ground floor bedroom and bathroom; reconfigure the stairs. no increase of square footage, no additional dwelling unit","1 family dwelling","1 family dwelling",2019-07-23,"37.742265991667445","-122.46601344710783"
"1030 Baker St 94115","Lone Mountain/USF","otc alterations permit","to comply with nov #201930994. legalize cmu wall at backyard along north property line.","1 family dwelling","1 family dwelling",2019-07-24,"37.78094532846639","-122.44159200159636"
"2114 42nd Av 94116","Sunset/Parkside","otc alterations permit","to comply with nov #201185806 to remove the illegal roof structure that built over the newly constructed deck at rear yard under permit application no. 200908205218.","1 family dwelling","1 family dwelling",2013-03-06,"37.74722179570473","-122.5004172925599"
"3316 19th St 94110","Mission","otc alterations permit","to comply with dcp enf case #2019-001458enf. rev to pa201606240860 for facade alterations including at front elevation removal of illegaly installed vinyl slider windows, restoration of front facade including installation of new windows, ornamental hood and trim and repair of (e) wood siding.","1 family dwelling","1 family dwelling",2019-07-25,"37.76053148203291","-122.41747234323597"
"34 Lundys Ln 94110","Bernal Heights","otc alterations permit","remove kitchen/stove in order to permanently remove the in-law rental unit from housing use. bring habitable space on basement level up to code for habitability, legalize (e) bathroom to include removal of bath tub and ""kitchen"" sink.","1 family dwelling","1 family dwelling",2015-11-04,"37.744809832328656","-122.41847927664018"
"1300 Revere Av 94124","Bayview Hunters Point","otc alterations permit","comply with nov #200455496 and 201446382  to obtain a permit to legalize one bedroom, one bathroom, and  one family room. remove stove in the family room to obtain a separate electrical and plumbing permit. all work to legalize on the ground floor(garage).","1 family dwelling","1 family dwelling",2014-06-26,"37.72875490302674","-122.38449509481916"
"182 Prague St 94112","Excelsior","otc alterations permit","2nd floor - remodel (e) kitchen and bathroom; 1st floor - legalize bedroom with new bathroom and closet, new home office and laundry. replace (e) stair with new spiral stair","1 family dwelling","1 family dwelling",2015-12-31,"37.71931972301199","-122.42719781098285"
"2337 Taraval St 94116","Sunset/Parkside","additions alterations or repairs","rear bldg: legalize ground floor unit per ordinance 43-14. convert (e) garage to conditioned area (144 sq ft). interior remodel & addition on 2nd & 3rd floor under separate permit.","1 family dwelling","2 family dwelling",2019-07-30,"37.74211206611258","-122.49138775636641"
"1182 Fitzgerald Av 94124","Bayview Hunters Point","additions alterations or repairs","to legalize ground flr unit per ordinance 43-14 to add 2nd unit @ the ground flr (ground flr area is fully permitted per permit #2017-1102-3003.","1 family dwelling","2 family dwelling",2018-10-31,"37.72099093587903","-122.39079758406417"
"1714 24th Av 94122","Sunset/Parkside","otc alterations permit","at garage level 1st floor - legalize (e) 2 bedrooms, construct walls for new bath, family, great room, wet bar & laundry. at 2nd flr-remodel (e) kitchen & dining, relocate (e) bathroom. new bathroom & den, new interior stair, replace side & back windows, relocate furnace & water heater.","1 family dwelling","1 family dwelling",2015-02-03,"37.75553903294374","-122.48165462841783"
"2074 Bancroft Av 94124","Bayview Hunters Point","additions alterations or repairs","per unit legalization ord# 43-14, legalize of dwelling unit installed w/o permit. comply w/ nov# 201804991 and 201890208. 1st flr: kitchen, living room, 1 full bath and 1 bedroom.","1 family dwelling","2 family dwelling",2019-02-05,"37.73082839428605","-122.40148550538954"
"235 Seneca Av 94112","Outer Mission","additions alterations or repairs","comply with nov# 201580131 and fire damage repair, kitchen cabinet, duct work, rewiring whole house, electrical, plaster, dry wall, skylight, windows, complete bath room, exterior stucco required, framing, roof repair. legalize a illegal unit on ground floor.","1 family dwelling","1 family dwelling",2016-06-15,"37.72027599323191","-122.44325070536605"
"230 Guttenberg St 94112","Excelsior","otc alterations permit","repair fire damage, new electrical, modify bathroom, new kitchen remodel. comply with nov 201311751. add occupancy to lower level.legalize bathroom and 2 bedroom on ground floor.","1 family dwelling","1 family dwelling",2013-10-10,"37.710038913839654","-122.44335924901796"
"2279 31st Av 94116","Sunset/Parkside","otc alterations permit","abatement of complaint #201322241-revision to pa# 2013-0913-6802-legalize (e) bedrooms (2) on 1st floor (garage) of a single family dwelling.","1 family dwelling","1 family dwelling",2013-10-15,"37.74475519175971","-122.4890359683033"
"2362 42nd Av 94116","Sunset/Parkside","additions alterations or repairs","legalize unit per ordinance 43-14.legalize (e) unpermitted unit @ ground floor . to comply with violation #201716051.","1 family dwelling","2 family dwelling",2019-01-08,"37.742672224077936","-122.50005355340129"
"40 Niagara Av 94112","Outer Mission","additions alterations or repairs","comply w/ complaint #201084446, 201390355. reference pa#2012-02-16-4371. legalize bedroom & bath @ 2nd floor (rear). legalize bedroom & bath @ 3rd floor (rear).  (n) stairway at rear.","1 family dwelling","1 family dwelling",2013-09-04,"37.71629174122399","-122.44224640067345"
"1083 Hollister Av 94124","Bayview Hunters Point","additions alterations or repairs","legalize ground fl kitchen to add (1)(n) residential unit under unit lealization program. legalize garage to ground fl unit's living room. comply with nov #201569083, nov #201569681, nov #201567882","1 family dwelling","2 family dwelling",2015-11-10,"37.719333926944614","-122.39228350223212"
"443 Madrid St 94112","Excelsior","additions alterations or repairs","new kitchen area on 1st floor & legalize in-law dwelling unit under ordinance no# 43-14. 1 bedroom, 1 living room, kitchen & 1 bathroom.","1 family dwelling","2 family dwelling",2015-05-13,"37.72230534404248","-122.43194263350084"
"1663 10th Av 94122","Inner Sunset","otc alterations permit","to comply with nov: 201267422 - remove illegal kitchen area including cooktop & fredge. revert into laundry area. all work on 1st flr.  all other work under pa#s 200711097857, 201208318801 & 201209260644. revert back to last legal use.","1 family dwelling","1 family dwelling",2015-05-12,"37.7572169892692","-122.46723916854985"
"1871 08th Av 94122","Inner Sunset","additions alterations or repairs","legalize third unit per ordinance no. 43-14. improve unit (2 bedroom & 1 bath) to meet all applicable code requirements. no excavation.","1 family dwelling","apartments",2019-08-08,"37.75343899995842","-122.46482886775539"
"2601 17th Av 94116","West of Twin Peaks","otc alterations permit","to comply with nov#201494501. legalize work on ground floor. city does not have plans on record. lower level as is with purchase. no work to be performed.","1 family dwelling","1 family dwelling",2019-08-09,"37.73926054423129","-122.47356696877326"
"3518 Webster St 94123","Marina","otc alterations permit","construct hoistway for 2 stop elevator. remodel e bathroom,  and closet near hoistway. legalize full bath, guest room, and laundry rm at lower level maher not req","1 family dwelling","1 family dwelling",2016-07-12,"37.803260070917645","-122.4347599918695"
"2063 45th Av 94116","Sunset/Parkside","otc alterations permit","remodel 1st  floor:legalize  full bath and add one bedroom.","1 family dwelling","1 family dwelling",2013-11-04,"37.748092559447194","-122.50431874723189"
"1351 Revere Av 94124","Bayview Hunters Point","otc alterations permit","remove illegal kitchens on 1st and 2nd floor per nov 201553052, 201553041. revert back to original use.","1 family dwelling","1 family dwelling",2015-07-01,"37.72884117691198","-122.38571764574267"
"2 Vesta St 94124","Bayview Hunters Point","additions alterations or repairs","comply w/ nov #201558471. legalize (e) inlaw unit on ground fl including light, electrical outlets & plumbing; lower subfloor in bedroom #4 & playroom @ lower fl. provide 1-hr fire resistant heat source; relocate & replace electrical svc panel, provide 1-hr fire resistant materials between added uni","1 family dwelling","2 family dwelling",2015-09-23,"37.73124116141775","-122.40036972656665"
"2 Dunsmuir St 94134","Portola","additions alterations or repairs","in compliance with nov# 201959542 & 201959472. legalize (e) as-built rear single story addition bedroom & bathroom @ ground floor.","1 family dwelling","1 family dwelling",2019-08-15,"37.73089160253983","-122.41454101785779"
"1966 29th Av 94116","Sunset/Parkside","additions alterations or repairs","2 (e) bedrooms in the upper level shall be remodeled with 325 sf added area. a new toilet / bath & laundry space plus a deck with stairs to the rear yard. 2 non-compliant rooms in the lower level & 2 bath room with a total 516 sf. shall be legalized with a 413 sf addition. (e) garage to be rated.","1 family dwelling","1 family dwelling",2015-09-24,"37.750677425417166","-122.48663857553262"
"1579 La Salle Av 94124","Bayview Hunters Point","otc alterations permit","demo illegal in-law unit on 1st floor. take out kitchen, bath and bedroom.  storagte 1,2 bed rm & take out sub-floor and sleepers.","1 family dwelling","1 family dwelling",2015-09-24,"37.73605165487416","-122.3884296696899"
"2112 Thomas Av 94124","Bayview Hunters Point","additions alterations or repairs","remodel (e) 2-story single family house & legalize (e) enclosed under upper fl sunroom space. remove (e) outside entrance stair & relocate entrance & garage door. fill (e) stair opening space to living area.","1 family dwelling","1 family dwelling",2014-07-31,"37.73595199914263","-122.40049126645535"
"28 Liebig St 94112","Outer Mission","additions alterations or repairs","per ordinance 43-14 legalize 3rd floor space to unit. adu on separate permit.","1 family dwelling","2 family dwelling",2019-08-16,"37.708594110079396","-122.4559218901929"
"55 Newton St 94112","Excelsior","otc alterations permit","interior remodel of s.f.d.  remodel kitchen and bath on 2nd floor, provide new bath on 2nd floor, replace ext substandard interior stairs. legalize rooms down , 2 bedrooms, one bath and family room. replace all windows in kind at 2nd floor except window at front. not visible from street.","1 family dwelling","1 family dwelling",2015-09-28,"37.713856839883945","-122.43852324350271"
"832 Russia Av 94112","Excelsior","otc alterations permit","replace new furnace to comply with nov 201478541, repair bedroom leak. replace garage door motor. comply with nov 201476471, fix improper drainage, demo e illegal work gr fl to comply with 201477443, 200561585, 200561530. legalize gr fl bath, 2 bedrooms, 1 study","1 family dwelling","1 family dwelling",2015-09-28,"37.71809783484042","-122.43041030184328"
"255 Kalmanovitz St 94124","Bayview Hunters Point","additions alterations or repairs","comply to nov #201571531. to legalize rear adition building at ground floor.","1 family dwelling","1 family dwelling",2016-07-29,"37.72663635333026","-122.39712718784199"
"4033 Ortega St 94116","Sunset/Parkside","additions alterations or repairs","add unit ord 95-17. legalization of one unit installed without permit. legalize kitchen, studio room, one full bathroom. all work at ground flr.","1 family dwelling","2 family dwelling",2018-11-07,"37.75077586607609","-122.50694441529832"
"1173 Ingerson Av 94124","Bayview Hunters Point","otc alterations permit","to comply with nov #201541691 to legalize work at ground floor. one bedroom, study, closet, and bathroom. replace garage door with entry door.","1 family dwelling","1 family dwelling",2015-10-06,"37.72044937678737","-122.39591501364204"
"1564 Underwood Av 94124","Bayview Hunters Point","additions alterations or repairs","recondition (e) studio @ ground floor, to create (n) two beddroom apartment, (n) kitchen and addition of new bedroom. legalize unit per ordinance 43-14","1 family dwelling","2 family dwelling",2018-05-08,"37.72963645733471","-122.39105351891132"
