"full_address","neighborhoods_analysis_boundaries","permit_type_definition","description","existing_use","proposed_use","permit_creation_date","location.latitude","location.longitude"
"2074 Bancroft Av 94124","Bayview Hunters Point","additions alterations or repairs","per unit legalization ord# 43-14, legalize of dwelling unit installed w/o permit. comply w/ nov# 201804991 and 201890208. 1st flr: kitchen, living room, 1 full bath and 1 bedroom.","1 family dwelling","2 family dwelling",2019-02-05,"37.73082839428605","-122.40148550538954"
"1650 11th Av 94122","Inner Sunset","additions alterations or repairs","legalize an (e) unauthorized dwelling unit on ground floor per ordiance 43-14. entire 1st fl to be upgraded to include fire sprinkler system. all three flrs to include manual fire alarm system. verify (e) strl complies w/ lateral force resisting per 2016 sfbc sec 407 change of occupancy r3 to r2.","2 family dwelling","apartments",2019-01-11,"37.75740444097668","-122.46766733598642"
"1674 Funston Av 94122","Inner Sunset","otc alterations permit","comply w/ n.o.v # 201963441. remove (e) sink and wetbar in garage. legalize bathroom, rumpus room and storage area at ground flr","2 family dwelling","2 family dwelling",2019-08-01,"37.75689891765769","-122.46977894456222"
"2722 Folsom St 94110","Mission","otc alterations permit","comply with nov 201842471 to perform fire damage repairs. not reinstalling illegal 2nd kitchen which was destroyed by fire at northeast of the 1st floor unit (2724 folsom st)","2 family dwelling","2 family dwelling",2019-08-02,"37.75364429531434","-122.41454091180178"
"2362 42nd Av 94116","Sunset/Parkside","additions alterations or repairs","legalize unit per ordinance 43-14.legalize (e) unpermitted unit @ ground floor . to comply with violation #201716051.","1 family dwelling","2 family dwelling",2019-01-08,"37.742672224077936","-122.50005355340129"
"1083 Hollister Av 94124","Bayview Hunters Point","additions alterations or repairs","legalize ground fl kitchen to add (1)(n) residential unit under unit lealization program. legalize garage to ground fl unit's living room. comply with nov #201569083, nov #201569681, nov #201567882","1 family dwelling","2 family dwelling",2015-11-10,"37.719333926944614","-122.39228350223212"
"443 Madrid St 94112","Excelsior","additions alterations or repairs","new kitchen area on 1st floor & legalize in-law dwelling unit under ordinance no# 43-14. 1 bedroom, 1 living room, kitchen & 1 bathroom.","1 family dwelling","2 family dwelling",2015-05-13,"37.72230534404248","-122.43194263350084"
"633 28th Av 94121","Outer Richmond","otc alterations permit","legalize replacement of rear exterior stairs.","2 family dwelling","2 family dwelling",2019-08-08,"37.777377915689485","-122.48808753168613"
"233 Onondaga Av 94112","Outer Mission","additions alterations or repairs","legalize (1) illegal unit @ ground fl per adu ordinance #162-16. legalization of the other unit will be under separate permit","2 family dwelling","apartments",2019-08-08,"37.722715833234766","-122.44206038067657"
"2083 San Jose Av 94112","Outer Mission","additions alterations or repairs","conduct all work for nov# 200881053 & bldg fire notice 201491816 8/26/14. work incl new exit stairs at rear yard &repair of all fire damage. work incl new construction at 2nd & 3rd fls to legalize horizontal addition. addition & demo work done w/o permit. front window replacement.","2 family dwelling","2 family dwelling",2015-06-30,"37.72334184550809","-122.4440682779633"
"2 Vesta St 94124","Bayview Hunters Point","additions alterations or repairs","comply w/ nov #201558471. legalize (e) inlaw unit on ground fl including light, electrical outlets & plumbing; lower subfloor in bedroom #4 & playroom @ lower fl. provide 1-hr fire resistant heat source; relocate & replace electrical svc panel, provide 1-hr fire resistant materials between added uni","1 family dwelling","2 family dwelling",2015-09-23,"37.73124116141775","-122.40036972656665"
"28 Liebig St 94112","Outer Mission","additions alterations or repairs","per ordinance 43-14 legalize 3rd floor space to unit. adu on separate permit.","1 family dwelling","2 family dwelling",2019-08-16,"37.708594110079396","-122.4559218901929"
"3214 Balboa St 94121","Outer Richmond","otc alterations permit","revision to pa 2018-1211-7957 including modification of proposed steps serving existing units & unit to be legalized; revision of fire rated assemblies, and revision of utility room access","2 family dwelling","apartments",2019-08-19,"37.776139629849816","-122.49341403872755"
"1304 Page St 94117","Haight Ashbury","additions alterations or repairs","legalize grade level unit per ord 43-14. new landscaping/permeability improvements within required front yard.","2 family dwelling","apartments",2019-08-20,"37.77175486333982","-122.44250326876295"
"200 Lily St 94102","Hayes Valley","additions alterations or repairs","ordinance #43-14. convert single family space to (n) (1) bedroom unit. remodel (e) unit 1 & 2 to change from (2) bed, (2) bath to (3) bed (2) bath. bring current illegal unit to comply w/ code & with permits","2 family dwelling","apartments",2019-08-20,"37.7744494040287","-122.42433968730616"
"4033 Ortega St 94116","Sunset/Parkside","additions alterations or repairs","add unit ord 95-17. legalization of one unit installed without permit. legalize kitchen, studio room, one full bathroom. all work at ground flr.","1 family dwelling","2 family dwelling",2018-11-07,"37.75077586607609","-122.50694441529832"
"3027 San Bruno Av 94134","Portola","otc alterations permit","removal of kitchen and remodel bathroom. removing illegal unit at lower level. to comply with nov #201530282. n/a for maher","2 family dwelling","2 family dwelling",2015-10-06,"37.72348402419378","-122.40163950353596"
"1564 Underwood Av 94124","Bayview Hunters Point","additions alterations or repairs","recondition (e) studio @ ground floor, to create (n) two beddroom apartment, (n) kitchen and addition of new bedroom. legalize unit per ordinance 43-14","1 family dwelling","2 family dwelling",2018-05-08,"37.72963645733471","-122.39105351891132"
"17 Ottawa Av 94112","Outer Mission","additions alterations or repairs","legalize basement unit per ordinance# 43-14 - a bedroom, 1 study room, 1 bathroom 1 kitchen","1 family dwelling","2 family dwelling",2016-01-07,"37.71382271550639","-122.4443119424709"
"1662 Beach St 94123","Marina","otc alterations permit","1)legalize extg family room, bath room and laundry at ground  floor. 2)remove door at hall way at 3rd floor.  n/a for maher.","2 family dwelling","2 family dwelling",2016-02-03,"37.804901770451","-122.43645954485982"
"875 South Van Ness Av 94110","Mission","otc alterations permit","revise application #201303152266. shower not to be removed. shower plans submitted to comply with physical inspection report #cc7182. filing plans/drawings to legalize extg shower.","2 family dwelling","2 family dwelling",2013-03-18,"37.75924982169517","-122.41656206383018"
"167 Allison St 94112","Excelsior","additions alterations or repairs","legalize in-law unit at first floor per ordinance 43-14. to comply w/dbi nov#20147591.","1 family dwelling","2 family dwelling",2014-07-07,"37.71291978046619","-122.44148809023933"
"2649 Folsom St 94110","Mission","additions alterations or repairs","legalize existing rear deck & stairs to fulfill requirements per condo conversion report provided by the sf dept of building inspection dated 9/25/2013.","2 family dwelling","2 family dwelling",2014-02-24,"37.75495181235091","-122.41395367566815"
"224 Nueva Av 94134","Bayview Hunters Point","additions alterations or repairs","legalize in-law unit at 1st floor per ordinance 43-14. new 1 bedroom, new 1 bath, new 1 kitchen.","1 family dwelling","2 family dwelling",2015-04-28,"37.71088558793534","-122.39775076155482"
"73 Westgate Dr 94127","West of Twin Peaks","additions alterations or repairs","comply with complaint# 201884631. adu unit per ordinance# 95-17. legalize (e) kitchen, studio unit. all work @ ground floor of a single family.","1 family dwelling","2 family dwelling",2019-03-18,"37.72824429683099","-122.46588519631875"
"582 Naples St 94112","Excelsior","additions alterations or repairs","to comply with nov 201580512: to legalize unit at garage level.","1 family dwelling","2 family dwelling",2016-04-05,"37.71969717509805","-122.43242543802046"
"1266 22nd Av 94122","Sunset/Parkside","additions alterations or repairs","per legalization ordinance# 43-14, application to resolve notice of complaint #2019-013354enf & nov 201967361. legalize unauthorized 2nd unit at lower level.","1 family dwelling","2 family dwelling",2019-08-29,"37.76406160434881","-122.48005269313838"
"1391 Shafter Av 94124","Bayview Hunters Point","additions alterations or repairs","to comply ces- 201846840. unit legalization ordinance 43-14. legalize unit from 1 to 2.  cross reference adu 201808167562.","1 family dwelling","2 family dwelling",2018-08-16,"37.72857685910247","-122.38691722857236"
"1742 La Salle Av 94124","Bayview Hunters Point","additions alterations or repairs","per ordinance 43-14, legalize (e) unpermitted dwelling unit @ ground fl, originally constructed per appln #200907213063","2 family dwelling","apartments",2019-08-30,"37.73821264831261","-122.39116903918496"
"1744 La Salle Av 94124","Bayview Hunters Point","additions alterations or repairs","per ordinance 43-14, legalize (e) unpermitted dwelling unit @ ground fl, originally constructed per appln #200907213063","2 family dwelling","apartments",2019-08-30,"37.73821264831261","-122.39116903918496"
"81 Whittier St 94112","Excelsior","additions alterations or repairs","legalize 1st floor unit per ordinance# 43-14. (2 bedrooms, 1 bath, kitchen, dining & media room)","1 family dwelling","2 family dwelling",2019-08-30,"37.70937533363336","-122.4475843009285"
"3221 Balboa St 94121","Outer Richmond","additions alterations or repairs","legalizae (e) illegal unit @ ground fl. approx 600 sq ft to comply with nov 201540571.","2 family dwelling","apartments",2016-02-01,"37.77564299398302","-122.49346420358137"
"3223 Balboa St 94121","Outer Richmond","additions alterations or repairs","legalizae (e) illegal unit @ ground fl. approx 600 sq ft to comply with nov 201540571.","2 family dwelling","apartments",2016-02-01,"37.77564299398302","-122.49346420358137"
"1926 45th Av 94116","Sunset/Parkside","additions alterations or repairs","legalize (e) dwelling unit @ 1st fl per ordinance 43-14 planning code section 207.3. new unit included bedroom, btharoom & kitchen","1 family dwelling","2 family dwelling",2019-09-05,"37.75060630344681","-122.50383766894078"
"442 London St 94112","Excelsior","additions alterations or repairs","in response to appl #2018005862 enf by planning dept. to legalize unathorized unit @ ground fl per ordinance 43-13. legalizing of unpermit addtion at rear yard in separated permit pa# 2019-1224-0476.","1 family dwelling","2 family dwelling",2019-09-05,"37.72225337043009","-122.43593655029166"
"78 John St 94133","Chinatown","otc alterations permit","legalize 1 bath room, play room, add 1 bedroom and half-bath at 1st fl per plan","2 family dwelling","2 family dwelling",2014-07-11,"37.79602774849176","-122.41122505836626"
"947 Innes Av 94124","Bayview Hunters Point","additions alterations or repairs","(per ordinance 146-15) legalize (e) kitchen to add (1)(n) residential unit under unit legalization program. legalize (e) garage to living space per plan. comply with nov #201569124, #201569691, #201567914","1 family dwelling","2 family dwelling",2015-11-20,"37.73230599413373","-122.37683830454873"
"651 Capp St 94110","Mission","otc alterations permit","legalize (e) half bathroom and storage room garage level. add gas line to existing kitchen on 2nd fl and legalize laundry area on 1/f","2 family dwelling","2 family dwelling",2015-11-20,"37.756338169968686","-122.41749598279594"
"1331 40th Av 94122","Sunset/Parkside","otc alterations permit","permit to legalize new driveway area to comply with nov #201535741.","2 family dwelling","2 family dwelling",2015-04-29,"37.76193107560846","-122.49991171112181"
"1738 Filbert St 94123","Marina","additions alterations or repairs","per city ordinance 43-14, legalize existing in-law unit in front detached house per ordinance 43-14. new kitchen at ground floor.","1 family dwelling","2 family dwelling",2015-11-20,"37.799302902062976","-122.42815997844146"
"4542 Cabrillo St 94121","Outer Richmond","additions alterations or repairs","proposed to legalized dwelling unit at 1st fl comply with ordinance 43-14","2 family dwelling","apartments",2018-03-08,"37.773563676014845","-122.50760379481535"
"74 Caselli Av 94114","Castro/Upper Market","additions alterations or repairs","convert illegal dwelling unit to legal unit per ordinance no. 43-14.  comply with n.o.v#200925662.","2 family dwelling","apartments",2014-07-14,"37.75993674482737","-122.44097755171472"
"842 33rd Av 94121","Outer Richmond","otc alterations permit","as-builts for new fire sprinkler system in remodeled/legalized unit (as required by inspector).  bldg pa#201503191386/r3, ref #201610049484, #201612124708.","2 family dwelling","apartments",2017-02-23,"37.773234244176734","-122.49250925338005"
"1050 Gilman Av 94124","Bayview Hunters Point","additions alterations or repairs","legalize existing kitchen on the ground floor. to legalize 1 residential unit under unit legalization ord 43-14.","1 family dwelling","2 family dwelling",2015-12-02,"37.71904482946137","-122.38903715738441"
"38 Carr St 94124","Bayview Hunters Point","additions alterations or repairs","legalize existing kitchen on the second floor. to legalize 1 existing residential unit under unit legalization ord 43-14.","1 family dwelling","2 family dwelling",2015-12-02,"37.721985990168676","-122.39715844463534"
"494 Pacheco St 94116","Inner Sunset","otc alterations permit","renew pa# 201012015915 to remove illegal unit 494a from housing use.","2 family dwelling","2 family dwelling",2013-03-28,"37.751186753745074","-122.46510344703515"
"496 Pacheco St 94116","Inner Sunset","otc alterations permit","renew pa# 201012015915 to remove illegal unit 494a from housing use.","2 family dwelling","2 family dwelling",2013-03-28,"37.751186753745074","-122.46510344703515"
"274 Victoria St 94132","Oceanview/Merced/Ingleside","additions alterations or repairs","comply with nov 201625382 permit for furnace/water heater. legalize(e)unit (unit b) on grd floor with 1 bedroom, 1 full bath, kitchen & living room per plan. add deck at rear of building for unit a access to rear yard (open common space) per plan. unit legalization ord 43-14.","1 family dwelling","2 family dwelling",2016-08-29,"37.71566908934369","-122.46503924892617"
"4529 18th St 94114","Castro/Upper Market","additions alterations or repairs","rear bldg. legalize habitable workspace for new in-law. add closet, kitchen cabinets, microwave, refgrigerator, sink, shower.","1 family dwelling","2 family dwelling",2015-12-08,"37.760324828003384","-122.44008478640063"
"1465 Revere Av 94124","Bayview Hunters Point","additions alterations or repairs","legalize existing kitchen on ground floor to and add one residential unit","1 family dwelling","2 family dwelling",2015-12-11,"37.730050990286045","-122.38784938933367"
"884 Alabama St 94110","Mission","otc alterations permit","at 1/f, remove illegal unit, convert rooms to storage, remove kitchen and bath.","2 family dwelling","2 family dwelling",2016-01-07,"37.757810227394636","-122.41164509219266"
"575 06th Av 94118","Inner Richmond","otc alterations permit","comply with complaint 201585503 and 201586415 - to remove counter with wet sink; and bathroom shower, hand sink and toilet in the garage on the ground floor; remove illegal ground floor unit.","2 family dwelling","2 family dwelling",2015-12-21,"37.77770616831074","-122.46437312145531"
"1460 Page St 94117","Haight Ashbury","additions alterations or repairs","renovation of top 3 floors. including installation of 3rd dwelling unit at top flr. egress improvements. new dormers at attic level. no expansion of building envelope proposed (no additions). comply with complaint#199921637. legalize ground floor unit (1462a) under separate permit.","2 family dwelling","apartments",2015-12-21,"37.771509914113736","-122.44490359697951"
"1462 Page St 94117","Haight Ashbury","additions alterations or repairs","renovation of top 3 floors. including installation of 3rd dwelling unit at top flr. egress improvements. new dormers at attic level. no expansion of building envelope proposed (no additions). comply with complaint#199921637. legalize ground floor unit (1462a) under separate permit.","2 family dwelling","apartments",2015-12-21,"37.771509914113736","-122.44490359697951"
"917 Central Av 94115","Lone Mountain/USF","additions alterations or repairs","add partial 4th flr. vertical addition & rear horizontal addition @ 2nd/3rd fl. interior remodel of (e) kitchen & bathrooms, legalize (e) unit @ 1st flr, widen (e) driveway. seimic upgrade, replace (e) windows with marvin wood clad, (n) ext. trim & siding.","1 family dwelling","2 family dwelling",2015-12-23,"37.778417513254134","-122.44557201670821"
"2965 25th Av 94132","Sunset/Parkside","additions alterations or repairs","legalize dwelling unit at 1/f per ordinance no.43-14","1 family dwelling","2 family dwelling",2015-12-23,"37.7331640270797","-122.48131119193086"
"577 06th Av 94118","Inner Richmond","otc alterations permit","comply with complaint 201585503 and 201586415 - to remove counter with wet sink; and bathroom shower, hand sink and toilet in the garage on the ground floor; remove illegal ground floor unit.","2 family dwelling","2 family dwelling",2015-12-21,"37.77770616831074","-122.46437312145531"
"1459 Thomas Av 94124","Bayview Hunters Point","otc alterations permit","legalize 1 bathroom, remodel 2 kitchens, 3 bathrooms, repair siding, stucco, roof, drywall in-kind. paint interior & exterior.","2 family dwelling","2 family dwelling",2015-12-28,"37.728720398208836","-122.38883741453685"
"114 Lyon St 94117","Haight Ashbury","additions alterations or repairs","no work. we are applying for a merger to legalize the use that has been in place for approx 20 years.","apartments","2 family dwelling",2016-03-14,"37.772137704198755","-122.44202276427548"
"426 Funston Av 94118","Inner Richmond","otc alterations permit","remove illegal bathroom and convert into powder on 1st floor.","2 family dwelling","2 family dwelling",2016-03-24,"37.78007835252753","-122.4714043438144"
"505 32nd Av 94121","Outer Richmond","otc alterations permit","legalize (e) accessory rooms, provide half bath. replace (e) windows and door with new","2 family dwelling","2 family dwelling",2016-03-24,"37.77946840994473","-122.49243551713188"
"181 Corbett Av 94114","Castro/Upper Market","additions alterations or repairs","comply with nov 201498751. legalize 3rd du by adding kitchen per section 207.3 (ord. 43.14) & change occupancy. previous permitted work under pa# 8011064 & #8305024. add fire sprinklers & 1-hr separation between units & garage. ordinance 43-16 (see back for detail).","2 family dwelling","apartments",2016-06-09,"37.761528184983284","-122.44237578182899"
"3917 California St 94118","Inner Richmond","otc alterations permit","comply with complaint #201534771 and 201542741. remove illegal kitchen, convert to laundry. legalize extg bed room. all work at ground floor.","2 family dwelling","2 family dwelling",2015-05-05,"37.78539710069122","-122.45981919353869"
"468 Vernon St 94132","Oceanview/Merced/Ingleside","additions alterations or repairs","(unit legalization ord 43-14 )convert (e) storage space in app #200012047067 to a new kitchen & install(n) counter w/cabinet,wet sink,stove refrigerator on g/f; legalize(e)door from garage to(e)storage rm to the fire rated door to add(n)2nd unit; clear complaint no.201472581; illegal unit complaint","1 family dwelling","2 family dwelling",2014-07-17,"37.720882296747114","-122.46778985213864"
